customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,HasInternetService,TotalServices,LoyaltyCategory,AvgMonthlyCharges,HadPriceIncrease,HasFamilySupport,IsHighValue,ChargeDifference,TotalChargesCategory
8779-QRDMV,1,1,0,0,1,0,0,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0,2,New,39.65,0,0,0,0.0,Low
1680-VDCWW,1,0,1,0,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1,0,New,16.854166666666668,1,1,0,2.945833333333333,Low
1066-JKSGK,1,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,1,0,New,20.15,0,0,0,0.0,Low
3638-WEABW,0,0,1,0,58,1,1,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,0,2,Long-term,60.432758620689654,0,1,0,-0.5327586206896555,High
6322-HRPFA,1,0,1,1,49,1,0,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,0,3,Long-term,60.61836734693878,0,1,0,-1.0183673469387813,High
6865-JZNKO,0,0,0,0,30,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,0,2,Very Loyal,51.019999999999996,1,0,0,4.280000000000001,High
6467-CHFZW,1,0,1,1,47,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,0,3,Long-term,101.04574468085106,0,1,1,-1.695744680851064,Very High
8665-UTDHZ,1,0,1,1,1,0,0,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0,1,New,30.2,0,1,0,0.0,Low
5248-YGIJN,1,0,1,0,72,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,0,6,Long-term,88.46458333333334,1,1,1,1.7854166666666629,Very High
8773-HHUOZ,0,0,0,1,17,1,0,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,0,2,Loyal,64.3,1,1,0,0.4000000000000057,Medium
3841-NFECX,0,1,1,0,71,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,0,4,Long-term,95.30915492957746,1,1,1,1.0408450704225345,Very High
4929-XIHVW,1,1,1,0,2,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0,3,New,90.825,1,1,0,4.674999999999997,Low
6827-IEAUQ,0,0,1,1,27,1,0,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,0,4,Very Loyal,69.42407407407407,0,1,0,-3.274074074074065,High
7310-EGVHZ,1,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,1,0,New,20.2,0,0,0,0.0,Low
3413-BMNZE,1,1,0,0,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0,0,New,45.25,0,0,0,0.0,Low
6234-RAAPL,0,0,1,1,72,1,1,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,0,4,Long-term,100.71805555555555,0,1,1,-0.8180555555555458,Very High
6047-YHPVI,1,0,0,0,5,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0,0,New,63.379999999999995,1,0,0,6.320000000000007,Low
6572-ADKRS,0,0,0,0,46,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,0,1,Long-term,77.13695652173914,0,0,0,-2.3369565217391397,High
5380-WJKOV,1,0,0,0,34,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,0,4,Very Loyal,104.38970588235294,1,0,0,1.9602941176470523,High
8168-UQWWF,0,0,0,0,11,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0,3,New,100.4909090909091,0,0,0,-2.640909090909105,Medium
8865-TNMNX,1,0,1,1,10,1,0,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,0,1,New,47.57,1,1,0,1.9799999999999969,Medium
9489-DEDVP,0,0,1,1,70,1,1,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,0,3,Long-term,69.605,0,1,1,-0.40500000000000114,Very High
9867-JCZSP,0,0,1,1,17,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1,0,Loyal,24.602941176470587,0,1,0,-3.852941176470587,Medium
4671-VJLCL,0,0,0,0,63,1,1,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,0,5,Long-term,77.16587301587302,1,0,1,2.6841269841269764,Very High
4080-IIARD,0,0,1,0,13,1,1,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,0,4,Loyal,75.49615384615385,1,1,0,0.7038461538461576,Medium
3714-NTNFO,0,0,0,0,49,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,0,1,Long-term,79.72857142857143,1,0,0,4.771428571428572,Very High
5948-UJZLF,1,0,0,0,2,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0,1,New,48.5,1,0,0,0.75,Low
7760-OYPDY,0,0,0,0,2,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0,1,New,72.075,1,0,0,8.575000000000003,Low
7639-LIAYI,1,0,0,0,52,1,1,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,0,4,Long-term,81.11153846153846,0,0,0,-1.3615384615384585,Very High
2954-PIBKO,0,0,1,1,69,1,1,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,0,3,Long-term,61.6536231884058,1,1,0,2.496376811594203,Very High
8012-SOUDQ,0,1,0,0,43,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,0,2,Long-term,89.27325581395348,1,0,0,0.9767441860465169,Very High
9420-LOJKX,0,0,0,0,15,1,0,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,0,4,Loyal,95.09333333333333,1,0,0,4.006666666666661,High
6575-SUVOI,0,1,1,0,25,1,1,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,0,3,Very Loyal,70.10600000000001,0,1,0,-0.6060000000000088,High
7495-OOKFY,0,1,1,0,8,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0,1,New,79.1625,1,1,0,1.4875000000000114,Medium
4667-QONEA,0,1,1,1,60,1,0,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,0,5,Long-term,74.27250000000001,1,1,0,0.5774999999999864,Very High
1658-BYGOY,1,1,0,0,18,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,0,2,Loyal,97.36388888888888,0,0,0,-1.9138888888888772,High
8769-KKTPH,0,0,1,1,63,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,0,3,Long-term,100.17777777777778,0,1,1,-0.5277777777777715,Very High
5067-XJQFU,1,1,1,1,66,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,0,5,Long-term,107.21742424242424,1,1,1,1.2325757575757592,Very High
3957-SQXML,0,0,1,1,34,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,1,0,Very Loyal,26.302941176470586,0,1,0,-1.352941176470587,Medium
5954-BDFSG,0,0,0,0,72,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,0,4,Long-term,109.07916666666667,0,0,1,-1.5791666666666657,Very High
0434-CSFON,0,0,1,0,47,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,0,3,Long-term,100.15106382978725,1,1,1,0.3489361702127525,Very High
1215-FIGMP,1,0,0,0,60,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,0,2,Long-term,90.845,0,0,1,-0.9449999999999932,Very High
0526-SXDJP,1,0,1,0,72,0,0,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,0,3,Long-term,41.138888888888886,1,1,0,0.9611111111111157,High
0557-ASKVU,0,0,1,1,18,1,0,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,0,2,Loyal,53.172222222222224,1,1,0,1.2277777777777743,Medium
5698-BQJOH,0,0,0,0,9,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,0,2,New,95.25,0,0,0,-0.8499999999999943,Medium
5122-CYFXA,0,0,0,0,3,1,0,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,0,4,New,81.36666666666666,0,0,0,-6.066666666666663,Low
8627-ZYGSZ,1,0,1,0,47,1,1,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,0,1,Long-term,77.66702127659575,1,1,0,1.2329787234042584,High
3410-YOQBQ,0,0,0,0,31,1,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,0,5,Very Loyal,80.55483870967741,0,0,0,-1.3548387096774093,High
3170-NMYVV,0,0,1,1,50,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,1,0,Long-term,18.618,1,1,0,1.532,Medium
7410-OIEDU,1,0,0,0,10,1,0,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,0,2,New,88.735,0,0,0,-8.885000000000005,Medium
2273-QCKXA,1,0,0,0,1,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,0,1,New,49.05,0,0,0,0.0,Low
0731-EBJQB,0,0,1,1,52,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,1,0,Long-term,20.974038461538463,0,1,0,-0.5740384615384642,Medium
1891-QRQSA,1,1,1,1,64,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,0,5,Long-term,110.921875,1,1,1,0.6781249999999943,Very High
8028-PNXHQ,1,0,1,1,62,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,1,0,Long-term,22.97741935483871,1,1,0,1.272580645161291,High
5630-AHZIL,0,0,0,1,3,1,0,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0,3,New,59.13333333333333,1,1,0,5.366666666666667,Low
2673-CXQEU,0,1,0,0,56,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,0,5,Long-term,109.63392857142857,1,0,1,0.8660714285714306,Very High
6416-JNVRK,0,0,0,0,46,1,0,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,0,1,Long-term,58.45326086956521,0,0,0,-2.8032608695652144,High
5590-ZSKRV,0,0,1,1,8,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,0,2,New,60.28125,0,1,0,-5.631250000000001,Medium
0191-ZHSKZ,1,1,0,0,30,1,0,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,0,4,Very Loyal,70.37666666666668,1,0,0,4.373333333333321,High
3887-PBQAO,0,0,1,1,45,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,1,0,Long-term,27.035555555555554,0,1,0,-1.1355555555555554,Medium
5919-TMRGD,0,0,0,1,1,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,0,1,New,79.35,0,1,0,0.0,Low
8108-UXRQN,0,0,1,1,11,0,0,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,0,3,New,51.39545454545455,0,1,0,-0.845454545454551,Medium
9191-MYQKX,0,0,1,0,7,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0,1,New,70.98571428571428,1,1,0,4.164285714285725,Medium
9919-YLNNG,0,0,0,0,42,1,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,0,5,Long-term,103.03571428571429,1,0,0,0.7642857142857054,Very High
0318-ZOPWS,0,0,1,0,49,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,1,0,Long-term,19.864285714285714,1,1,0,0.2857142857142847,Medium
4445-ZJNMU,1,0,0,0,9,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0,3,New,102.08333333333333,0,0,0,-2.7833333333333314,Medium
4808-YNLEU,0,0,1,0,35,1,0,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,0,2,Very Loyal,63.29857142857142,0,1,0,-1.1485714285714224,High
1862-QRWPE,0,0,1,1,48,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,1,0,Long-term,22.020833333333332,0,1,0,-1.3708333333333336,Medium
2796-NNUFI,0,0,1,1,46,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,1,0,Long-term,20.15434782608696,0,1,0,-0.20434782608695912,Medium
3016-KSVCP,1,0,1,0,29,0,0,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,0,1,Very Loyal,34.80172413793103,0,1,0,-1.051724137931032,Medium
4767-HZZHQ,1,0,1,1,30,1,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,0,2,Very Loyal,85.67333333333333,0,1,0,-3.623333333333335,High
2424-WVHPL,1,1,0,0,1,1,0,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,0,1,New,74.7,0,0,0,0.0,Low
7233-PAHHL,1,0,1,1,66,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,0,5,Long-term,86.57954545454545,0,1,1,-2.5795454545454533,Very High
6067-NGCEU,0,0,0,0,65,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,0,5,Long-term,109.33846153846154,1,0,1,1.7115384615384528,Very High
9848-JQJTX,1,0,0,0,72,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,0,4,Long-term,103.59791666666666,0,0,1,-2.697916666666657,Very High
8637-XJIVR,0,0,0,0,12,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,0,1,New,77.27916666666667,1,0,0,1.6708333333333343,Medium
9803-FTJCG,1,0,1,1,71,1,1,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0,0,3,Long-term,66.8830985915493,0,1,1,-0.0330985915493045,Very High
0278-YXOOG,1,0,0,0,5,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,1,0,New,22.77,0,0,0,-1.7199999999999989,Low
3212-KXOCR,1,0,0,0,52,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0,1,0,Long-term,21.292307692307695,0,0,0,-0.2923076923076948,Medium
4598-XLKNJ,0,1,1,0,25,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,0,4,Very Loyal,100.58,0,1,0,-2.0799999999999983,High
6380-ARCEH,1,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0,1,0,New,20.2,0,0,0,0.0,Low
3679-XASPY,0,0,1,1,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0,1,0,New,19.45,0,1,0,0.0,Low
7123-WQUHX,1,0,0,0,38,1,1,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,3605.6,0,0,3,Long-term,94.88421052631578,1,0,0,0.11578947368421666,High
5386-THSLQ,0,1,1,0,66,0,0,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,0,0,3,Long-term,45.86742424242424,0,1,0,-0.31742424242424505,High
3192-NQECA,1,0,1,0,68,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,0,5,Long-term,111.93897058823529,0,1,1,-1.9389705882352928,Very High
6180-YBIQI,1,0,0,0,5,0,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,100.2,0,0,0,New,20.04,1,0,0,4.260000000000002,Low
6728-DKUCO,0,0,1,1,72,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,7303.05,0,0,4,Long-term,101.43125,1,1,1,2.71875,Very High
9750-BOOHV,0,0,0,0,32,0,0,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65,0,0,1,Very Loyal,28.9890625,1,0,0,1.1609374999999993,Medium
8597-CWYHH,1,0,0,0,43,1,1,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0,0,2,Long-term,91.19302325581396,1,0,0,3.1569767441860392,Very High
2848-YXSMW,1,0,1,1,72,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0,1,0,Long-term,18.93402777777778,1,1,0,0.46597222222222,Medium
0486-HECZI,1,0,1,0,55,1,1,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,0,3,Long-term,95.25272727272727,1,1,1,1.4972727272727298,Very High
4549-ZDQYY,0,0,0,0,52,1,0,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,3042.25,0,0,3,Long-term,58.50480769230769,0,0,0,-0.5548076923076906,High
5712-AHQNN,0,0,0,0,43,1,0,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,3954.1,0,0,3,Long-term,91.95581395348837,0,0,0,-0.30581395348836793,Very High
4846-WHAFZ,0,1,1,0,37,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,0,0,Long-term,77.51756756756757,0,1,0,-1.0175675675675677,High
5256-SKJGO,0,0,1,1,64,0,0,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,0,0,4,Long-term,53.4921875,1,1,0,1.1078125000000014,High
3071-VBYPO,1,0,1,1,3,1,0,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,248.4,0,0,3,New,82.8,1,1,0,7.049999999999997,Low
9560-BBZXK,0,0,0,0,36,0,0,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,1126.35,0,0,1,Very Loyal,31.287499999999998,0,0,0,-0.23749999999999716,Medium
5299-RULOA,0,0,1,1,10,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,0,3,New,106.465,0,1,0,-6.215000000000003,Medium
8402-OOOHJ,0,0,0,0,41,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0,1,0,Long-term,20.36951219512195,1,0,0,0.2804878048780495,Medium
9445-ZUEQE,1,0,1,1,27,1,1,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,0,2,Very Loyal,79.68888888888888,1,1,0,5.51111111111112,High
1091-SOZGA,0,0,1,1,56,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,5515.45,0,0,3,Long-term,98.49017857142857,1,1,1,1.309821428571425,Very High
2928-HLDBA,0,0,0,0,6,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0,1,0,New,18.791666666666668,1,0,0,1.9083333333333314,Low
0404-SWRVG,1,0,0,0,3,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,0,0,New,76.51666666666667,0,0,0,-2.11666666666666,Low
6497-TILVL,0,0,1,1,7,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,350.35,0,0,1,New,50.050000000000004,1,1,0,0.6499999999999986,Low
7219-TLZHO,0,0,1,1,4,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0,1,0,New,15.725,1,1,0,5.125000000000002,Low
4622-YNKIJ,1,0,0,0,33,1,0,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0,0,3,Very Loyal,91.7469696969697,0,0,0,-2.796969696969697,High
4412-YLTKF,0,1,0,0,27,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,0,1,Very Loyal,79.0925925925926,0,0,0,-1.042592592592598,High
